num,race,year,country,place,category,details
1,Karnten - ICEMAN Wintertriathlon,2008,Austria,2,Junior,--
2,MÜRZMAN Extremduathlon,2008,Austria,1,Junioren,--
3,Murzer Oberland Naturpark Triathlon,2008,Austria,2,Junior,--
4,9. ATUS Stadtwerke Judenburg Wintertriathlon,2008,Austria,2,Junior,--
5,Kraubather duathlon,2008,Austria,2,AG,--
6,Karnten - ICEMAN Wintertriathlon,2009,Austria,1,U23,--
7,Latky Mlaky ETU Winter Triathlon European Championships,2009,Slovakia,2,20-24 Male AG,--
8,Gaishorn ITU Winter Triathlon World Championships,2009,Austria,3,20-24 Male AG,--
9,Lygna ETU Winter Triathlon European Championships,2010,Norway,1,20-24 Male AG,--
10,Eidsvoll ITU Winter Triathlon World Championships,2010,Norway,1,20-24 Male AG,--
11,IRONMAN 70.3 Singapore,2010,Singapore,3,18-24AG,--
12,Austrian 1/2 IRON Triathlon,2011,Austria,1,U23,--
13,Visegrad ETU Cross Triathlon European Championships,2011,Hungary,1,20-24 Male AG,--
14,Austrian 1/2 IRON Triathlon,2012,Austria,3,U23,--
15,Challenge Iceland,2016,Iceland,1,25-29AG,--
16,Dolgi triatlon Murska Sobota,2017,Slovenia,3,Člani 1,--
17,IRONMAN 70.3 Jeju,2018,South Korea,2,25-29AG,--
18,SLO Winter Triathlon National Championships,2019,Austria,2,Overall,--
