num,race,year,country,distance,time,details
1,Maraton treh src,2009,Slovenia,5.5km,00:20:07,-
2,Tek močvirski tulipan,2011,Slovenia,4.2km,00:15:20,3rd overall
3,15. Prekmurski zdravniški tek,2015,Slovenia,?,00:26:13,2nd overall
4,17. Prekmurski zdravniški tek,2017,Slovenia,?,00:27:07,1st overall
5,Božičkov tek Maribor,2017,Slovenia,?,00:14:58,3th place in AG
6,18. Prekmurski zdravniški tek,2018,Slovenia,?,00:25:56,1st overall
7,Nočni tek na Kalvarijo,2018,Slovenia,?,00:02:44,-
8,2. Božičkov tek Maribor,2018,Slovenia,7km,00:27:08,-
9,EXPANO NOČNI GLOW TEK,2019,Slovenia,8.7km,00:33:28,4th place overall
10,3. Božičkov tek Maribor,2019,Slovenia,6.4km,00:24:23,3rd place in AG
11,4. EXPANO NOČNI GLOW TEK,2021,Slovenia,4.35km,00:16:11,4th place overall
12,6. Markoton,2022,Slovenia,5.5km,00:21:38,-
13,4. EXPANO NOČNI GLOW TEK,2022,Slovenia,4.35km,00:18:18,-
