num,race,year,country,place,category,details
1,Karnten - ICEMAN Wintertriathlon,2008,Austria,2,Junior,--
2,Murzer Oberland Naturpark Triathlon,2008,Austria,2,Junior,--
3,9. ATUS Stadtwerke Judenburg Wintertriathlon,2008,Austria,2,Junior,--
4,Kraubather duathlon,2008,Austria,2,AG,--
5,Karnten - ICEMAN Wintertriathlon,2009,Austria,1,U23,--
6,IRONMAN 70.3 Singapore,2010,Singapore,3,18-24AG,--
7,Austrian 1/2 IRON Triathlon,2011,Austria,1,U23,--
8,Austrian 1/2 IRON Triathlon,2012,Austria,3,U23,--
9,Challenge Iceland,2016,Iceland,1,25-29AG,--
10,Dolgi triatlon Murska Sobota,2017,Slovenia,3,Člani 1,--
11,IRONMAN 70.3 Jeju,2018,South Korea,2,25-29AG,--
12,Wintertriatlon DP,2019,Austria,2,Overall,--
