num,race,year,place,category,details
1,Šolske igre Bakovci,2003,2,?,--
2,Pokal Peš na Pohorje,2007,1,?,--
3,3. Moravski tek,2008,1,?,--
4,7. pokal občine Gornji Petrovci,2008,1,?,--
5,Mura kros,2008,3,Overall,--
6,Bakovski tek,2008,1,AG,--
7,Bakovski tek,2008,1,Obcani,--
8,22. Nočni tek po ulicah Kobilja,2008,1,?,--
9,5. Tek po poti sprostitve in užitka Moščanci,2008,1,AG,--
10,Radgona teče,2008,1,AG,--
11,5. Rogašovski tek,2008,1,AG,--
12,Pokal obcine Tišina,2008,1,AG,--
13,Pomurski Pokal (Overall),2008,2,AG,--
14,Grazer Silvesterlauf (10 km),2008,2,AG,--
15,9. Pokal Občine v krosu Gornji Petrovci,2010,2,AG,--
16,9. Pokal Občine v krosu Gornji Petrovci,2010,3,Overall,--
17,Tek močvirski tulipan,2011,3,Overall,--
18,7. Moravski tek,2012,2,AG,--
19,4. Čepinski tek,2013,2,AG,--
20,Tek okoli Bukovniškega jezera,2014,2,AG,--
21,5. Čepinski tek,2014,2,AG,--
22,12. Triglavov tek Predanovci,2014,2,AG,--
23,Beltinski tek,2014,3,AG,--
24,Pomurski Pokal (Overall),2014,3,AG,--
25,Pomurski zdravniški tek,2015,2,Overall,--
26,Pomurski zdravniški tek,2015,2,Category,--
27,Bakovski tek (Obcani),2015,3,Overall,--
28,Bakovski tek,2015,3,AG,--
29,Tek okoli Bukovniškega jezera,2015,2,AG,--
30,17. Pomurski zdravniški tek,2017,1,Overall,--
31,16. Ormoški polmaraton,2017,3,AG,--
32,3. Markovski mali maraton,2017,3,AG,--
33,3. Bakovski tek,2017,2,Overall,--
34,3. Bakovski tek,2017,1,AG,--
35,Tek okoli Bukovniškega jezera,2017,3,AG,--
36,15. Tek prijateljstva Štrigova - Razkrižje,2017,3,Overall,--
37,15. Tek prijateljstva Štrigova - Razkrižje,2017,1,AG,--
38,16. Mednarodni tek prijateljstva Razkrižje - Štrigova,2018,3,Overall,--
39,16. Mednarodni tek prijateljstva Razkrižje - Štrigova,2018,3,AG,--
40,Pomurski pokal (skupno),2018,1,AG,--
41,17. Ormoški polmaraton (5km race),2018,2,Overall,--
42,17. Ormoški polmaraton (5km race),2018,2,AG,--
43,Tek okoli Bukovniškega jezera,2018,1,Overall,--
44,Tek okoli Bukovniškega jezera,2018,1,AG,--
45,Tek okoli Bukovniškega jezera,2019,1,Overall,--
46,Tek okoli Bukovniškega jezera,2019,1,AG,--
47,Božičkov tek Maribor,2017,3,AG,--
48,17. Blaguški tek,2019,1,AG,--
49,17. Blaguški tek,2019,2,overall,--
50,8. Bezgov tek,2019,1,AG,--
51,8. Bezgov tek,2019,1,OVERALL,--
52,5. Bakovski tek,2019,1,OVERALL,--
53,5. Bakovski tek,2019,1,AG,--
54,34. Tradicionalni tek ob jezeru Sveta Trojica,2018,2,Overall,--
55,34. Tradicionalni tek ob jezeru Sveta Trojica,2018,2,AG,--
56,15. Rogaševski tek,2018,3,AG,--
57,15. Rogaševski tek,2018,3,Overall,--
58,14. Pečarovski tek,2018,1,AG,--
59,14. Pečarovski tek,2018,1,Overall,--
60,12. Aninski tek (10km),2018,2,Overall,--
61,5. Beltinski tek,2018,2,Overall,--
62,5. Beltinski tek,2018,1,AG,--
63,4. Bakovski tek,2018,1,AG,--
64,4. Bakovski tek,2018,1,OVERALL,--
